Location,Period,Suicide_per_100000,Male,Female,PSEGDP,Old_Age,Survivors,Incapacity,Family,Labour,Unemployment,Housing,Health,Other,Total_GDP
Japan,2013,21.4,30.2,12.9,22.064,10.146,1.334,0.984,1.142,0.174,0.212,0.116,7.666,0.289,14705681737
Korea,2013,30.6,42.5,18.6,8.825,2.097,0.266,0.54,1.143,0.35,0.259,0,3.614,0.557,2.61123E+11
Latvia,2013,20.6,37.7,6.2,15.529,7.523,0.21,1.797,1.781,0.238,0.485,0,3.238,0.142,2.04666E+12
Lithuania,2013,40.5,71.6,13.9,15.491,6.397,0.415,1.813,1.718,0.243,0.221,0,4.065,0.59,5.89423E+12
Luxembourg,2013,11.3,15.5,7,22.267,6.669,1.856,2.688,3.615,0.625,1.427,0,4.593,0.488,1.25318E+12
Mexico,2013,5.2,8.5,2,7.566,1.826,0.173,0.037,0.977,0.01,0,0,3.135,0.546,42346825076
Netherlands,2013,11.8,16.3,7.5,18.134,6.157,0.137,3.068,1.322,0.823,0,0,3.333,1.328,56358249075
New Zealand,2013,12.2,17.6,7,19.718,4.771,0.061,2.506,2.846,0.391,0,0,7.495,0.423,27115315432
Norway,2013,11.8,15.6,7.9,21.969,7.636,0.257,3.734,3.088,0.504,0,0,5.556,0.725,1.15188E+12
Poland,2013,18.2,32.6,4.8,20.476,9.317,1.934,2.402,1.408,0.488,0,0,4.481,0.142,8.49721E+11
Portugal,2013,12.5,19.9,5.9,25.543,12.132,1.893,1.896,1.238,0.502,0,0,6.075,0.198,4.49267E+11
Slovakia,2013,12.3,21.9,3.2,17.576,6.542,0.87,1.861,1.681,0.22,0,0,5.572,0.371,1.57472E+11
Slovenia,2013,22.2,36.1,8.6,23.802,10.177,1.61,2.073,1.928,0,0,0,6.238,0.645,5.15056E+11
Spain,2013,8.5,12.8,4.2,25.698,9.158,2.413,2.418,1.311,0,0,0,6.439,0.209,2.22288E+11
Sweden,2013,15.9,21.5,10.3,27.003,9.437,0.39,4.191,3.568,0,0,0,6.477,0.696,95274628920
Switzerland,2013,15.1,21,9.3,16.222,6.196,0.502,2.898,1.589,0,0,0,2.922,0.52,46807152434
Turkey,2013,2.3,3.3,1.2,11.804,5.808,1.413,0.447,0.381,0,0,0,3.451,0.162,5.14687E+11
United Kingdom of Great Britain and Northern Ireland,2013,8.8,14,3.8,22.37,6.607,0.054,1.925,3.653,0,0,0,7.819,0.136,9.82188E+11
United States of America,2013,13.5,21,6.2,18.484,6.241,0.688,1.211,0.666,0,0,0,7.997,0.884,1.58538E+13
Australia,2014,12.7,18.9,6.5,17.78,5.05,0.133,2.556,2.742,0.253,0.671,0.393,5.731,0.25,1.28364E+12
Austria,2014,16.5,25.3,8.1,27.731,12.244,1.775,2.222,2.608,0.788,1.001,0.121,6.51,0.462,4.08881E+11
Belgium,2014,19.4,27,12.1,29.105,8.776,1.867,2.846,2.863,0.736,3.214,0.248,7.914,0.64,5.02793E+11
Canada,2014,12.7,18.7,6.8,16.903,4.184,0.344,0.766,1.171,0.222,0.562,0.307,7.238,2.109,1.78275E+12
Chile,2014,9.9,16.4,3.5,10.385,2.39,0.574,0.694,1.526,0.226,0.055,0.84,3.727,0.353,6.25702E+11
Denmark,2014,12,17.3,6.7,29.877,9.651,0.018,5.408,3.619,2.034,0,0.698,7.039,1.411,2.58594E+11
Estonia,2014,19.5,33.7,7.2,15.949,6.413,0.061,2.127,2.349,0.193,0.291,0.032,4.386,0.099,3.63861E+12
Finland,2014,15.4,23.6,7.5,30.121,11.803,0.841,3.775,3.161,1.054,2.188,0.599,5.811,0.889,3.35437E+11
France,2014,15.6,22.9,8.8,32.027,12.623,1.676,1.674,3.007,0.915,1.615,0.837,8.864,0.816,1.36647E+12
Germany,2014,13.4,20.1,6.9,24.773,8.221,1.879,2.036,2.208,0.653,0.972,0.572,8.034,0.198,22775173863
Greece,2014,5.3,8.6,2.2,25.309,13.922,2.539,1.849,1.363,0.308,0.516,0.001,4.527,0.284,2.48775E+11
Hungary,2014,20.4,32.7,9.3,21.46,9.003,1.15,1.914,2.941,0.957,0.356,0.286,4.744,0.107,2.75068E+12
Iceland,2014,15.7,22,9.4,15.915,2.511,0.016,2.845,3.539,0.05,0.661,0.674,4.961,0.658,2.67303E+12
Ireland,2014,11,18.1,4,19.647,4.324,0.411,2.183,2.257,0.784,2.019,0.634,6.871,0.163,2.45795E+11
Israel,2014,5.1,7.8,2.5,15.429,4.764,0.638,2.541,1.823,0.12,0.326,0.085,4.516,0.615,1.40796E+11
Italy,2014,7.2,11.2,3.5,28.157,13.57,2.656,1.847,1.767,0.38,1.014,0.032,6.689,0.203,2.4581E+11
Japan,2014,20.1,28.2,12.3,21.831,9.967,1.288,0.978,1.189,0.158,0.185,0.114,7.627,0.324,15011945671
Korea,2014,29,40.7,17.2,9.19,2.346,0.279,0.532,1.123,0.343,0.266,0,3.711,0.589,2.70937E+11
Latvia,2014,20.7,36.9,7.1,15.354,7.216,0.195,1.873,1.912,0.192,0.486,0,3.256,0.126,2.04657E+12
Lithuania,2014,35.6,63.8,11.6,15.629,6.643,0.406,1.82,1.682,0.237,0.192,0,4.188,0.415,5.91632E+12
Luxembourg,2014,12.7,16.2,9.1,21.852,6.548,1.792,2.715,3.45,0.641,1.382,0,4.539,0.48,1.29331E+12
Mexico,2014,5.7,9.2,2.3,7.566,2.013,0.198,0.035,0.969,0.009,0,0,2.904,0.568,43844636463
Netherlands,2014,11.6,15.5,7.7,17.932,6.236,0.115,2.947,1.261,0.821,0,0,3.3,1.268,58779842603
New Zealand,2014,11.3,17,5.8,19.748,5.017,0.062,2.521,2.698,0.339,0,0,7.495,0.443,27406434701
Norway,2014,11.6,16.6,6.7,22.909,8.051,0.258,3.838,3.161,0.507,0,0,5.854,0.742,1.1847E+12
Poland,2014,17.4,31,4.6,20.176,9.277,1.912,2.339,1.389,0.479,0,0,4.389,0.134,8.61816E+11
Portugal,2014,14.2,22.3,7,25.076,12.133,1.892,1.807,1.229,0.571,0,0,5.963,0.183,4.58115E+11
Slovakia,2014,12.9,22.6,3.7,17.654,6.815,0.872,1.849,1.676,0.202,0,0,5.53,0.325,1.63182E+11
Slovenia,2014,19.6,32.8,6.5,23.094,9.97,1.522,1.992,1.847,0,0,0,6.046,0.713,5.32458E+11
Spain,2014,8.6,12.9,4.3,25.367,9.411,2.429,2.433,1.275,0,0,0,6.387,0.216,2.24049E+11
Sweden,2014,14.8,19.6,10,26.638,9.188,0.352,4.139,3.549,0,0,0,6.51,0.747,97791393748
Switzerland,2014,14.7,19.8,9.7,16.133,6.246,0.493,2.706,1.643,0,0,0,2.912,0.542,48102848757
Turkey,2014,2.3,3.4,1.3,11.696,5.769,1.415,0.452,0.371,0,0,0,3.374,0.16,5.28366E+11
United Kingdom of Great Britain and Northern Ireland,2014,8.6,13.4,4,21.864,6.539,0.052,1.81,3.485,0,0,0,7.855,0.122,1.03071E+12
United States of America,2014,14,21.6,6.5,18.47,6.31,0.671,1.175,0.644,0,0,0,8.215,0.832,1.62543E+13
Australia,2015,13.2,19.7,6.8,18.148,5.177,0.12,2.539,2.662,0.232,0.683,0.394,6.013,0.326,1.31178E+12
Austria,2015,16,24.8,7.6,27.735,12.199,1.746,2.136,2.646,0.742,1.059,0.12,6.526,0.561,4.13029E+11
Belgium,2015,18.6,25.8,11.7,29.517,9.691,1.814,2.886,2.779,0.706,2.903,0.229,7.896,0.613,5.13057E+11
Canada,2015,13,19.2,6.9,17.931,4.364,0.348,0.755,1.557,0.236,0.621,0.305,7.55,2.196,1.7945E+12
Chile,2015,10,16,4.1,10.899,2.35,0.573,0.731,1.702,0.287,0.085,0.797,3.987,0.388,6.34045E+11
Denmark,2015,10.9,14.7,7.2,29.869,9.697,0.015,5.206,3.519,2.043,0,0.7,7.112,1.576,2.64551E+11
Estonia,2015,15.9,27.9,5.4,17.154,6.887,0.059,2.234,2.766,0.21,0.324,0.026,4.562,0.088,3.69289E+12
Finland,2015,14,21.7,6.6,30.506,12.249,0.82,3.585,3.082,0.995,2.348,0.685,5.869,0.872,3.43294E+11
France,2015,15.8,23.7,8.4,31.791,12.575,1.644,1.679,2.947,0.906,1.608,0.825,8.787,0.82,1.41888E+12
Germany,2015,13.3,19.5,7.3,24.997,8.331,1.839,2.08,2.243,0.632,0.918,0.556,8.106,0.292,23195350012
Greece,2015,5,8.2,2,25.382,14.176,2.647,1.866,1.277,0.224,0.485,0.029,4.616,0.062,2.50128E+11
Hungary,2015,19.9,31,9.9,20.439,8.446,1.075,1.769,2.837,0.878,0.361,0.258,4.698,0.117,2.78129E+12
Iceland,2015,14.3,22.5,5.9,15.083,2.411,0.014,2.695,3.309,0.046,0.489,0.551,4.882,0.685,2.736E+12
Ireland,2015,9.3,14.7,4,14.874,3.358,0.316,1.667,1.682,0.564,1.398,0.496,5.271,0.122,2.44719E+11
Israel,2015,4.5,7.1,2.1,15.411,4.713,0.615,2.588,1.849,0.116,0.307,0.061,4.507,0.655,1.46173E+11
Italy,2015,7.1,10.9,3.6,28.333,13.591,2.633,1.825,1.952,0.504,0.994,0.035,6.593,0.206,3.07662E+11
Japan,2015,19.1,27.2,11.4,22.231,9.989,1.254,1.041,1.428,0.151,0.174,0.117,7.73,0.346,15724860715
Korea,2015,28,39.5,16.5,9.636,2.554,0.291,0.555,1.127,0.334,0.274,0,3.816,0.66,2.77142E+11
Latvia,2015,21.6,37.2,8.4,15.767,7.157,0.184,2.077,2.151,0.144,0.525,0,3.335,0.107,2.0625E+12
Lithuania,2015,34.9,61.7,11.9,15.939,6.543,0.377,2.003,1.753,0.308,0.227,0,4.36,0.312,5.98867E+12
Luxembourg,2015,12.2,16.6,7.7,21.62,6.671,1.704,2.609,3.369,0.66,1.385,0,4.42,0.493,1.32964E+12
Mexico,2015,5.6,9,2.3,7.676,2.049,0.188,0.035,1.029,0.005,0,0,3.001,0.475,44732307938
Netherlands,2015,11.8,15.7,7.9,17.598,6.086,0.09,3.384,1.441,0.759,0,0,2.712,1.235,61311156256
New Zealand,2015,11.7,17.1,6.5,19.36,4.911,0.063,2.511,2.611,0.338,0,0,7.358,0.452,28504576016
Norway,2015,12.5,16.2,8.7,24.788,8.583,0.263,4.32,3.266,0.517,0,0,6.436,0.83,1.22372E+12
Poland,2015,15.9,28.4,4.1,20.23,9.236,1.879,2.348,1.515,0.463,0,0,4.436,0.13,8.78701E+11
Portugal,2015,13.2,19.2,7.8,24.049,11.575,1.859,1.779,1.197,0.546,0,0,5.939,0.172,4.67127E+11
Slovakia,2015,12.4,21.9,3.4,17.228,6.68,0.845,1.824,1.617,0.195,0,0,5.415,0.262,1.69087E+11
Slovenia,2015,21,33.3,8.9,22.651,9.782,1.493,1.952,1.782,0,0,0,6.097,0.739,5.55015E+11
Spain,2015,7.9,11.8,4.1,24.702,9.27,2.341,2.404,1.237,0,0,0,6.509,0.217,2.28064E+11
Sweden,2015,15.7,21.8,9.7,26.173,8.951,0.316,4.072,3.467,0,0,0,6.421,0.934,1.025E+11
Switzerland,2015,15,20.5,9.5,16.608,6.339,0.493,2.77,1.8,0,0,0,2.988,0.561,49165960970
Turkey,2015,2.3,3.3,1.3,11.572,5.733,1.399,0.433,0.381,0,0,0,3.234,0.168,5.52086E+11
United Kingdom of Great Britain and Northern Ireland,2015,8.8,13.4,4.4,21.509,6.431,0.05,1.825,3.438,0,0,0,7.794,0.103,1.09342E+12
United States of America,2015,14.4,22.2,6.8,18.539,6.379,0.658,1.139,0.638,0,0,0,8.391,0.792,1.67269E+13
Australia,2016,12.2,18,6.4,17.408,5.046,0.104,2.347,2.402,0.236,0.642,0.37,5.979,0.281,1.34813E+12
Austria,2016,15.5,23.6,7.7,27.718,12.086,1.703,2.045,2.636,0.76,1.083,0.116,6.538,0.75,4.21246E+11
Belgium,2016,19.3,27.1,11.7,28.845,9.614,1.747,2.912,2.766,0.712,2.381,0.234,7.82,0.659,5.19556E+11
Canada,2016,11.9,17.6,6.2,18.279,4.483,0.342,0.742,1.717,0.249,0.647,0.302,7.571,2.226,1.81247E+12
Chile,2016,10,16.8,3.4,11.139,2.251,0.597,0.743,1.786,0.297,0.02,0.827,4.23,0.389,6.44968E+11
Denmark,2016,10.9,15.7,6.1,29.31,9.484,0.015,4.935,3.455,2.023,0,0.68,7.076,1.643,2.69078E+11
Estonia,2016,15.7,26.5,6.2,17.505,6.797,0.057,2.325,2.91,0.232,0.341,0.072,4.671,0.102,3.77524E+12
Finland,2016,15.2,23.8,7,30.449,12.477,0.795,3.402,3,0.978,2.286,0.755,5.666,1.09,3.54438E+11
France,2016,14.9,22.3,8,31.847,12.602,1.623,1.693,2.91,0.94,1.586,0.822,8.831,0.84,1.46189E+12
Germany,2016,13,19.4,6.8,25.254,8.385,1.826,2.11,2.295,0.628,0.873,0.552,8.173,0.412,23934775342
Greece,2016,4.7,7.9,1.6,25.58,14.084,2.619,1.757,1.255,0.18,0.527,0.02,4.989,0.148,2.5716E+11
Hungary,2016,18.7,29.1,9.3,20.296,8.293,1.032,1.682,2.815,0.919,0.31,0.347,4.8,0.097,2.81176E+12
Iceland,2016,13,21.2,4.6,14.952,2.483,0.014,2.674,3.221,0.032,0.398,0.469,4.978,0.683,2.78848E+12
Ireland,2016,10,16.1,4,15.069,3.711,0.322,1.669,1.645,0.49,1.228,0.521,5.371,0.112,2.44251E+11
Israel,2016,5.2,8.4,2.1,15.398,4.665,0.595,2.638,1.897,0.12,0.282,0.057,4.539,0.605,1.49301E+11
Italy,2016,6.6,10.1,3.2,27.907,13.287,2.56,1.795,1.934,0.586,0.972,0.036,6.492,0.246,3.18977E+11
Japan,2016,17.5,24.8,10.5,22.284,10.027,1.222,1.056,1.5,0.146,0.161,0.113,7.631,0.428,16766952996
Korea,2016,27.2,38.3,16,9.87,2.584,0.296,0.56,1.102,0.348,0.281,0,3.977,0.657,2.88178E+11
Latvia,2016,21.3,36.7,8.2,16.14,7.123,0.178,2.165,2.231,0.19,0.599,0,3.467,0.108,2.08918E+12
Lithuania,2016,32.8,59.9,9.6,15.59,6.212,0.358,2.035,1.73,0.297,0.221,0,4.42,0.26,6.01993E+12
Luxembourg,2016,10.2,13.9,6.4,21.02,6.619,1.627,2.43,3.227,0.788,1.174,0,4.343,0.474,1.36882E+12
Mexico,2016,5.6,9.2,2.1,7.501,2.125,0.188,0.034,1.029,0.007,0,0,2.859,0.435,45859037957
Netherlands,2016,11.9,15.8,8,17.473,6.104,0.084,3.334,1.477,0.711,0,0,2.68,1.308,64115897055
New Zealand,2016,12.2,18.2,6.3,19.04,4.898,0.063,2.448,2.483,0.318,0,0,7.294,0.483,29180967978
Norway,2016,12.6,16.5,8.6,26.027,9.074,0.268,4.506,3.36,0.532,0,0,6.689,0.963,1.25591E+12
Poland,2016,13.8,25,3.4,21.217,9.236,1.841,2.33,2.544,0.443,0,0,4.504,0.124,8.97959E+11
Portugal,2016,11.4,18.2,5.2,23.375,11.357,1.816,1.726,1.209,0.472,0,0,5.791,0.192,4.72132E+11
Slovakia,2016,12.3,21.7,3.4,17.566,6.742,0.821,1.865,1.648,0.249,0,0,5.619,0.221,1.75305E+11
Slovenia,2016,19,30.6,7.6,22.291,9.593,1.425,1.884,1.726,0,0,0,6.163,0.709,5.72452E+11
Spain,2016,7.8,11.8,4.1,24.236,9.269,2.291,2.412,1.204,0,0,0,6.406,0.196,2.3267E+11
Sweden,2016,14.6,19.6,9.6,26.59,9.11,0.294,3.951,3.505,0,0,0,6.466,1.361,1.04686E+11
Switzerland,2016,14.1,19.8,8.4,16.824,6.402,0.49,2.798,1.805,0,0,0,2.978,0.602,50735265933
Turkey,2016,2.3,3.3,1.3,12.642,6.237,1.519,0.516,0.472,0,0,0,3.384,0.2,5.63518E+11
United Kingdom of Great Britain and Northern Ireland,2016,8.5,13,4.1,20.845,6.027,0.044,1.822,3.319,0,0,0,7.785,0.101,1.12975E+12
United States of America,2016,15.1,23.5,7,18.646,6.511,0.643,1.102,0.635,0,0,0,8.462,0.757,1.70009E+13
Australia,2017,13.1,19.5,6.9,16.71,4.878,0.092,2.239,2.102,0.159,0.604,0.349,6.02,0.267,1.37914E+12
Austria,2017,15.4,24.5,6.6,27.263,11.969,1.635,1.979,2.583,0.777,1.03,0.098,6.563,0.629,4.31354E+11
Belgium,2017,18.9,26.1,11.9,28.718,9.824,1.7,2.962,2.734,0.866,1.821,0.246,7.899,0.665,5.27911E+11
Canada,2017,13,19.8,6.4,18.022,4.476,0.331,0.73,1.66,0.224,0.559,0.337,7.489,2.216,1.86994E+12
Chile,2017,9.3,15.5,3.2,11.45,2.274,0.574,0.751,1.772,0.271,0.078,0.787,4.57,0.372,6.56573E+11
Denmark,2017,11.3,15.6,7.1,29.164,9.624,0.013,4.901,3.405,1.966,0,0.672,7.057,1.526,2.72276E+11
Estonia,2017,18.7,30.7,8.1,17.242,6.521,0.052,2.285,2.832,0.249,0.286,0.067,4.868,0.082,3.87348E+12
Finland,2017,15.9,23.4,8.7,29.626,12.568,0.784,3.196,2.867,0.981,1.935,0.815,5.566,0.915,3.64439E+11
France,2017,14.6,21.7,8,31.5,12.477,1.584,1.699,2.88,0.872,1.551,0.805,8.77,0.86,1.50536E+12
Germany,2017,12.6,18.8,6.6,25.37,8.411,1.813,2.251,2.328,0.658,0.858,0.56,8.2,0.29,25250985667
Greece,2017,5.1,8.3,2,24.658,13.138,2.389,1.677,1.623,0.183,0.507,0.02,4.815,0.306,2.6557E+11
Hungary,2017,17.5,27.7,8.2,19.677,8.02,0.958,1.622,2.737,0.849,0.29,0.414,4.696,0.091,2.87619E+12
Iceland,2017,12.2,21.7,2.7,16.012,3.031,0.014,3.008,3.268,0.071,0.417,0.417,5.166,0.62,2.84124E+12
Ireland,2017,10,16.1,4.1,14.224,3.518,0.308,1.625,1.561,0.397,0.996,0.505,5.208,0.107,2.47927E+11
Israel,2017,5.1,7.8,2.5,16.241,4.748,0.585,2.782,2.251,0.143,0.273,0.064,4.787,0.607,1.55746E+11
Italy,2017,7.1,10.8,3.5,27.645,13.176,2.522,1.778,1.984,0.554,0.913,0.024,6.399,0.296,3.44959E+11
Japan,2017,17,24.2,10.1,22.324,10.077,1.201,1.076,1.585,0.149,0.154,0.112,7.612,0.357,17529175812
Korea,2017,25.8,36.8,14.7,10.107,2.67,0.324,0.6,1.103,0.297,0.287,0,4.116,0.645,2.9837E+11
Latvia,2017,21.4,36.9,8.3,15.907,6.977,0.184,2.153,2.217,0.189,0.57,0,3.444,0.103,2.12402E+12
Lithuania,2017,29.7,50.9,11.5,15.333,6.068,0.333,2.055,1.777,0.299,0.232,0,4.276,0.228,6.15046E+12
Luxembourg,2017,9.8,13.6,6,21.505,6.895,1.635,2.492,3.297,0.791,1.113,0,4.414,0.498,1.41207E+12
Mexico,2017,5.9,9.8,2.2,7.496,2.484,0.188,0.047,0.878,0.003,0,0,2.843,0.358,47822995719
Netherlands,2017,12.1,16.1,8.1,16.609,5.943,0.076,2.862,1.491,0.641,0,0,2.61,1.436,65270740382
New Zealand,2017,12.7,19.1,6.6,18.555,4.806,0.057,2.37,2.458,0.236,0,0,7.088,0.449,30129559625
Norway,2017,12.1,16.3,8,25.212,8.945,0.256,4.396,3.242,0.473,0,0,6.456,0.901,1.28245E+12
Poland,2017,13.3,23.8,3.4,20.8,8.856,1.752,2.23,2.615,0.42,0,0,4.516,0.112,9.24098E+11
Portugal,2017,12,18.6,6,22.662,11.024,1.777,1.697,1.201,0.403,0,0,5.701,0.186,4.83101E+11
Slovakia,2017,12.3,21.6,3.4,17.453,6.784,0.819,1.913,1.697,0.223,0,0,5.411,0.213,1.8085E+11
Slovenia,2017,20.9,33.4,8.6,21.497,9.233,1.313,1.777,1.845,0,0,0,5.912,0.673,6.00105E+11
Spain,2017,8.2,12.2,4.3,23.943,9.219,2.223,2.407,1.192,0,0,0,6.318,0.193,2.40828E+11
Sweden,2017,15,20.5,9.6,26.047,9.094,0.272,3.836,3.395,0,0,0,6.454,1.061,1.07872E+11
Switzerland,2017,14.6,20.5,8.9,17.028,6.448,0.485,2.861,1.824,0,0,0,3.083,0.605,53167285644
Turkey,2017,2.3,3.4,1.3,12.105,5.966,1.437,0.484,0.479,0,0,0,3.272,0.188,5.77988E+11
United Kingdom of Great Britain and Northern Ireland,2017,8.2,12.5,4.1,20.473,5.926,0.039,1.862,3.233,0,0,0,7.665,0.103,1.21451E+12
United States of America,2017,15.9,24.9,7.1,18.439,6.476,0.624,1.058,0.625,0,0,0,8.419,0.721,1.74038E+13
